Time of Day	Event type	Apparition Type	Image/Video/Visual Evidence	Audio Evidence	state	State% of High School Diploma	State% of Bachelor's Degree	State% of Advanced Degree	Haunted Places Witness Count	Combined_Evidence	Witness_Count_Group	QUANTITY	TIME	FAC	ORG	LOC	EVENT
Unknown		Unknown	True	True	Michigan	91.96	31.67	12.48	0	Both	0	[]	[]	['Orchestra Hall']	['the Detroit Symphony']	[]	[]
Unknown		Unknown	True	True	Michigan	91.96	31.67	12.48	5	Both	2-5	[]	[]	[]	[]	[]	[]
Unknown	Ghostly Sightings	Several Ghosts	True	True	Michigan	91.96	31.67	12.48	4	Both	2-5	[]	[]	['St. Andrews', 'Shelter']	[]	[]	[]
Unknown	Ghostly Sightings	Several Ghosts	True	True	Michigan	91.96	31.67	12.48	0	Both	0	[]	[]	[]	[]	[]	[]
Unknown	Object and Environmental Manipulation	Female Ghost	True	True	Michigan	91.96	31.67	12.48	1	Both	1	[]	[]	[]	[]	[]	[]
night		Unknown	False	False	Michigan	91.96	31.67	12.48	1	None	1	['about a mile']	[]	['Huron River Dr.']	[]	[]	[]
night	Ghostly Sightings	Several Ghosts	True	True	Michigan	91.96	31.67	12.48	1	Both	1	[]	['one night']	[]	['the First United Methodist Church']	[]	[]
night	Ghostly Sightings	Female Ghost	True	True	Michigan	91.96	31.67	12.48	1	Both	1	['about two feet']	[]	[]	[]	[]	[]
night	Sounds and Noises	Several Ghosts	True	True	Michigan	91.96	31.67	12.48	0	Both	0	[]	['night']	['Casey road']	[]	[]	[]
night	Ghostly Sightings	Several Ghosts	True	False	Michigan	91.96	31.67	12.48	0	Visual Only	0	[]	[]	[]	[]	[]	[]
night	Object and Environmental Manipulation	Several Ghosts	True	True	Michigan	91.96	31.67	12.48	1	Both	1	[]	[]	[]	[]	[]	[]
Unknown	Sounds and Noises	Unknown	False	True	Michigan	91.96	31.67	12.48	0	Audio Only	0	[]	[]	[]	[]	[]	[]
Unknown		Unknown	True	True	Michigan	91.96	31.67	12.48	1	Both	1	[]	[]	['Holmes Hall']	[]	[]	[]
night	Ghostly Sightings	Unknown	False	True	Michigan	91.96	31.67	12.48	5	Audio Only	2-5	[]	['after 3 AM', 'night']	['Holmes Hall - West']	[]	[]	[]
night	Object and Environmental Manipulation	Female Ghost	True	True	Michigan	91.96	31.67	12.48	5	Both	2-5	[]	[]	['Hubbard Hall']	[]	[]	[]
night	Ghostly Sightings	Unknown	False	True	Michigan	91.96	31.67	12.48	0	Audio Only	0	[]	['early in the morning']	['Mason Hall']	[]	[]	[]
Unknown		Unknown	False	True	Michigan	91.96	31.67	12.48	1	Audio Only	1	[]	[]	['Mayo Hall']	[]	[]	[]
night	Sounds and Noises	Unknown	True	True	Michigan	91.96	31.67	12.48	1	Both	1	[]	[]	[]	['Michigan State University']	[]	[]
night	Sounds and Noises	Unknown	True	True	Michigan	91.96	31.67	12.48	0	Both	0	[]	['noon']	['the Physical Plant']	[]	[]	[]
night	Sounds and Noises	Male Ghost	True	True	Michigan	91.96	31.67	12.48	1	Both	1	[]	[]	['Williams Hall']	[]	[]	[]
Unknown		Female Ghost	False	True	Michigan	91.96	31.67	12.48	2	Audio Only	2-5	[]	[]	[]	[]	['battle creek']	[]
night	Unexplained Movements and Physical Manifestations	Several Ghosts	True	False	Michigan	91.96	31.67	12.48	1	Visual Only	1	[]	[]	[]	[]	[]	[]
night	Object and Environmental Manipulation	Unknown	True	True	Michigan	91.96	31.67	12.48	5	Both	2-5	['10 MILE HAYES']	['MIDNIGHT']	[]	[]	[]	[]
night	Unexplained Movements and Physical Manifestations	Child Ghost	True	False	Michigan	91.96	31.67	12.48	5	Visual Only	2-5	[]	['late at night']	['Brush Lake Rd', 'Frost Cemetery', 'Frost']	[]	[]	[]
Unknown		Unknown	False	True	Michigan	91.96	31.67	12.48	15	Audio Only	10+	[]	[]	[]	[]	[]	['the Civil War']
night	Violent or Tragic Deaths	Unknown	False	False	Michigan	91.96	31.67	12.48	0	None	0	[]	['night']	[]	[]	['the Muskegon River']	[]
Unknown	Unexplained Movements and Physical Manifestations	Several Ghosts	False	True	Michigan	91.96	31.67	12.48	1	Audio Only	1	[]	[]	[]	[]	[]	[]
Unknown	Unexplained Movements and Physical Manifestations	Female Ghost	True	False	Michigan	91.96	31.67	12.48	0	Visual Only	0	[]	[]	['Grand River', 'Cemetery']	[]	[]	[]
Unknown		Unknown	False	True	Michigan	91.96	31.67	12.48	0	Audio Only	0	[]	[]	[]	[]	[]	[]
night	Unexplained Movements and Physical Manifestations	Male Ghost	False	True	Michigan	91.96	31.67	12.48	4	Audio Only	2-5	[]	['night']	[]	['Hotel']	[]	[]
Unknown	Ghostly Sightings	Unknown	True	False	Michigan	91.96	31.67	12.48	0	Visual Only	0	['about 4 to 5 feet']	[]	['m89 highway']	[]	[]	[]
Unknown	Unexplained Movements and Physical Manifestations	Female Ghost	False	True	Michigan	91.96	31.67	12.48	0	Audio Only	0	[]	[]	[]	[]	[]	[]
night	Sounds and Noises	Unknown	True	True	Michigan	91.96	31.67	12.48	0	Both	0	[]	['3 in the morning', 'midnight']	['Woodward', 'Marshall']	[]	[]	[]
Unknown	Murder	Unknown	False	False	Michigan	91.96	31.67	12.48	1	None	1	[]	[]	[]	[]	[]	[]
night	Mysterious Occurrences	Orb	True	False	Michigan	91.96	31.67	12.48	1	Visual Only	1	[]	[]	[]	['Iron']	[]	[]
night	Sounds and Noises	Unknown	True	True	Michigan	91.96	31.67	12.48	0	Both	0	[]	[]	[]	[]	[]	[]
Unknown		Unknown	True	True	Michigan	91.96	31.67	12.48	1	Both	1	[]	[]	['3rd street']	[]	[]	[]
Unknown		Unknown	True	True	Michigan	91.96	31.67	12.48	0	Both	0	[]	[]	[]	[]	[]	[]
Unknown		Unknown	False	True	Michigan	91.96	31.67	12.48	0	Audio Only	0	[]	[]	[]	[]	[]	[]
night	Sounds and Noises	Child Ghost	True	True	Michigan	91.96	31.67	12.48	1	Both	1	[]	['night']	[]	[]	[]	[]
Unknown	Fire and Destruction	Several Ghosts	False	False	Michigan	91.96	31.67	12.48	0	None	0	[]	['12:00']	[]	[]	['Graves']	[]
Unknown	Unexplained Movements and Physical Manifestations	Unknown	True	False	Michigan	91.96	31.67	12.48	0	Visual Only	0	[]	[]	['the Forester Inn', 'the Forester Cemetery']	[]	[]	[]
Unknown	Unexplained Movements and Physical Manifestations	Child Ghost	True	True	Michigan	91.96	31.67	12.48	1	Both	1	[]	[]	[]	[]	['Lake Huron']	[]
night	Violent or Tragic Deaths	Unknown	False	True	Michigan	91.96	31.67	12.48	0	Audio Only	0	[]	['One night', 'Every summer night', 'around 11:30 pm']	[]	[]	[]	[]
Unknown	Murder	Unknown	True	False	Michigan	91.96	31.67	12.48	1	Visual Only	1	[]	[]	[]	['St. Lorenz Lutheran']	[]	[]
night	Violent or Tragic Deaths	Unknown	True	True	Michigan	91.96	31.67	12.48	1	Both	1	[]	['the night']	[]	[]	[]	[]
night	Unexplained Movements and Physical Manifestations	Several Ghosts	True	False	Michigan	91.96	31.67	12.48	1	Visual Only	1	[]	[]	[]	[]	[]	[]
night	Unexplained Movements and Physical Manifestations	Unknown	True	False	Michigan	91.96	31.67	12.48	1	Visual Only	1	[]	[]	[]	[]	[]	[]
Unknown	Ghostly Sightings	Several Ghosts	True	True	Michigan	91.96	31.67	12.48	1	Both	1	[]	[]	['Applebrook Farm']	[]	[]	[]
Unknown	Ghostly Sightings	Female Ghost	True	True	Michigan	91.96	31.67	12.48	1	Both	1	[]	[]	[]	[]	[]	[]
night	Sounds and Noises	Unknown	False	True	Michigan	91.96	31.67	12.48	0	Audio Only	0	[]	['7:30pm']	['Garden City High School']	[]	[]	[]
night	Violent or Tragic Deaths	Unknown	False	True	Michigan	91.96	31.67	12.48	5	Audio Only	2-5	[]	[]	"[""O'Leary Auditorium""]"	[]	[]	[]
Unknown	Violent or Tragic Deaths	Unknown	False	False	Michigan	91.96	31.67	12.48	0	None	0	[]	[]	[]	[]	[]	[]
night	Unexplained Movements and Physical Manifestations	Unknown	False	False	Michigan	91.96	31.67	12.48	1	None	1	[]	['late at night', 'around 2:30']	['Cambridge']	[]	[]	[]
Unknown	Ghostly Sightings	Male Ghost	True	False	Michigan	91.96	31.67	12.48	1	Visual Only	1	[]	[]	[]	[]	[]	[]
Unknown	Murder	Unknown	True	True	Michigan	91.96	31.67	12.48	1	Both	1	[]	[]	[]	['L3']	[]	[]
Unknown	Sounds and Noises	Unknown	True	True	Michigan	91.96	31.67	12.48	0	Both	0	[]	[]	['water tower']	[]	[]	[]
Unknown	Violent or Tragic Deaths	Unknown	True	False	Michigan	91.96	31.67	12.48	1	Visual Only	1	[]	[]	[]	[]	[]	[]
night	Sounds and Noises	Unknown	True	True	Michigan	91.96	31.67	12.48	0	Both	0	[]	['the night']	[]	[]	[]	[]
Unknown	Sounds and Noises	Female Ghost	True	True	Michigan	91.96	31.67	12.48	0	Both	0	[]	[]	[]	[]	[]	[]
night	Ghostly Sightings	Unknown	False	True	Michigan	91.96	31.67	12.48	0	Audio Only	0	[]	[]	[]	[]	[]	[]
night	Unexplained Movements and Physical Manifestations	Female Ghost	False	False	Michigan	91.96	31.67	12.48	1	None	1	[]	[]	[]	[]	[]	[]
night		Unknown	False	True	Michigan	91.96	31.67	12.48	0	Audio Only	0	[]	[]	['the Grand Theatre']	[]	[]	[]
Unknown	Ghostly Sightings	Female Ghost	True	False	Michigan	91.96	31.67	12.48	0	Visual Only	0	[]	[]	[]	[]	['Ferry Hill']	[]
Unknown	Sounds and Noises	Unknown	True	True	Michigan	91.96	31.67	12.48	0	Both	0	[]	[]	[]	['Sawdon High School', 'Sawdon']	[]	[]
Unknown	Unexplained Movements and Physical Manifestations	Female Ghost	True	False	Michigan	91.96	31.67	12.48	0	Visual Only	0	[]	[]	['Division', 'Fountain']	['Michigan Bell Telephone Company']	[]	[]
