state	city	Alcohol Abuse Total Death of that State	State% of High School Diploma	State% of Bachelor's Degree	State% of Advanced Degree
Michigan	Livonia	4548.0	91.96	31.67	12.48
Michigan	Livonia	4548.0	91.96	31.67	12.48
Michigan	Livonia	4548.0	91.96	31.67	12.48
Michigan	Livonia	4548.0	91.96	31.67	12.48
Michigan	Lowell	4548.0	91.96	31.67	12.48
Michigan	Luce County	4548.0	91.96	31.67	12.48
Michigan	Luna Pier	4548.0	91.96	31.67	12.48
Michigan	Macomb Twp	4548.0	91.96	31.67	12.48
Michigan	Mackinac Island	4548.0	91.96	31.67	12.48
Michigan	Mackinac Island	4548.0	91.96	31.67	12.48
Michigan	Mackinac Island	4548.0	91.96	31.67	12.48
Michigan	Mackinac Island	4548.0	91.96	31.67	12.48
Michigan	Mackinac Island	4548.0	91.96	31.67	12.48
Michigan	Mackinac Island	4548.0	91.96	31.67	12.48
Michigan	Mackinac Island	4548.0	91.96	31.67	12.48
Michigan	Mackinac Island	4548.0	91.96	31.67	12.48
Michigan	Mackinac Island	4548.0	91.96	31.67	12.48
Michigan	Mackinac Island	4548.0	91.96	31.67	12.48
Michigan	Mackinac Island	4548.0	91.96	31.67	12.48
Michigan	Mackinac Island	4548.0	91.96	31.67	12.48
Michigan	Mackinac Island	4548.0	91.96	31.67	12.48
Michigan	Mackinac Island	4548.0	91.96	31.67	12.48
Michigan	Madison Heights	4548.0	91.96	31.67	12.48
Michigan	Madison Heights	4548.0	91.96	31.67	12.48
Michigan	Manchester	4548.0	91.96	31.67	12.48
Michigan	Manistee	4548.0	91.96	31.67	12.48
Michigan	Manitoulin Island	4548.0	91.96	31.67	12.48
Michigan	Marine City	4548.0	91.96	31.67	12.48
Michigan	Marine City	4548.0	91.96	31.67	12.48
Michigan	Marcellus	4548.0	91.96	31.67	12.48
Michigan	Marquette	4548.0	91.96	31.67	12.48
Michigan	Marquette	4548.0	91.96	31.67	12.48
Michigan	Marquette	4548.0	91.96	31.67	12.48
Michigan	Marquette	4548.0	91.96	31.67	12.48
Michigan	Marquette	4548.0	91.96	31.67	12.48
Michigan	Marquette	4548.0	91.96	31.67	12.48
Michigan	Marquette	4548.0	91.96	31.67	12.48
Michigan	Marquette	4548.0	91.96	31.67	12.48
