Time of Day	Event type	state	Combined_Evidence	Witness_Count_Group
night		Nebraska	Audio Only	2-5
night	Mysterious Occurrences	Nebraska	Audio Only	1
Unknown	Object and Environmental Manipulation	Nebraska	Audio Only	1
night	Ghostly Sightings	Nebraska	Both	0
Unknown	Ghostly Sightings	Nebraska	Audio Only	1
night		Nebraska	Audio Only	1
night	Ghostly Sightings	Nebraska	Audio Only	6-10
night	Sounds and Noises	Nebraska	Audio Only	1
morning	Unexplained Movements and Physical Manifestations	Nebraska	Audio Only	0
morning	Murder	Nebraska	Audio Only	1
night	Violent or Tragic Deaths	Nebraska	Both	0
night	Violent or Tragic Deaths	Nebraska	None	1
Unknown	Unexplained Movements and Physical Manifestations	Nebraska	Audio Only	1
Unknown	Unexplained Movements and Physical Manifestations	Nebraska	Visual Only	0
night	Object and Environmental Manipulation	Nebraska	Both	2-5
night	Object and Environmental Manipulation	Nebraska	Both	2-5
Unknown	Unexplained Movements and Physical Manifestations	Nebraska	Both	0
night	Unexplained Movements and Physical Manifestations	Nebraska	Audio Only	1
Unknown	Violent or Tragic Deaths	Nebraska	Both	2-5
night	Unexplained Movements and Physical Manifestations	Nebraska	None	1
night	Murder	Nebraska	Visual Only	1
Unknown	Unexplained Movements and Physical Manifestations	Nebraska	Both	0
night	Violent or Tragic Deaths	Nebraska	Both	2-5
Unknown	Ghostly Sightings	Nebraska	Visual Only	0
night	Ghostly Sightings	Nebraska	Both	1
Unknown	Unexplained Movements and Physical Manifestations	Nebraska	Both	0
night	Violent or Tragic Deaths	Nebraska	Audio Only	6-10
Unknown		Nebraska	Audio Only	6-10
night	Violent or Tragic Deaths	Nebraska	Visual Only	1
night	Ghostly Sightings	Nebraska	Both	1
night	Unexplained Movements and Physical Manifestations	Nebraska	Both	0
Unknown		Nebraska	None	0
night	Object and Environmental Manipulation	Nebraska	Both	1
night	Ghostly Sightings	Nebraska	Both	0
Unknown	Unexplained Movements and Physical Manifestations	Nebraska	None	0
night	Unexplained Movements and Physical Manifestations	Nebraska	Audio Only	0
Unknown	Unexplained Movements and Physical Manifestations	Nebraska	Audio Only	1
night	Murder	Nebraska	Audio Only	6-10
night	Ghostly Sightings	Nebraska	None	2-5
night	Violent or Tragic Deaths	Nebraska	Audio Only	0
Unknown	Ghostly Sightings	Nebraska	None	1
night	Sounds and Noises	Nebraska	Audio Only	2-5
Unknown	Ghostly Sightings	Nebraska	Visual Only	0
Unknown	Violent or Tragic Deaths	Nebraska	None	0
night	Murder	Nebraska	Visual Only	1
night	Ghostly Sightings	Nebraska	Both	2-5
Unknown	Unexplained Movements and Physical Manifestations	Nebraska	Visual Only	0
Unknown	Fire and Destruction	Nebraska	Both	1
night	Unexplained Movements and Physical Manifestations	Nebraska	Both	1
Unknown	Murder	Nebraska	Audio Only	1
Unknown	Violent or Tragic Deaths	Nebraska	Audio Only	0
night		Nebraska	Both	0
Unknown	Ghostly Sightings	Nebraska	None	1
night	Ghostly Sightings	Nebraska	Audio Only	1
night	Object and Environmental Manipulation	Nebraska	Both	1
Unknown		Nebraska	Both	0
night	Violent or Tragic Deaths	Nebraska	Both	0
Unknown	Unexplained Movements and Physical Manifestations	Nebraska	Audio Only	1
Unknown	Unexplained Movements and Physical Manifestations	Nebraska	None	6-10
night	Unexplained Movements and Physical Manifestations	Nebraska	Both	0
night		Nebraska	Both	1
Unknown	Murder	Nebraska	Audio Only	1
night	Murder	Nebraska	Visual Only	2-5
night	Ghostly Sightings	Nebraska	Audio Only	0
Unknown	Unexplained Movements and Physical Manifestations	Nebraska	Both	0
night	Ghostly Sightings	Nebraska	Visual Only	6-10
afternoon	Object and Environmental Manipulation	Nebraska	Audio Only	1
Unknown	Unexplained Movements and Physical Manifestations	Nebraska	Both	0
night	Murder	Nebraska	Both	6-10
night	Ghostly Sightings	Nebraska	Both	1
night	Violent or Tragic Deaths	Nebraska	Both	6-10
Unknown	Sounds and Noises	Nebraska	Audio Only	0
Unknown	Violent or Tragic Deaths	Nebraska	Both	0
Unknown	Unexplained Movements and Physical Manifestations	Nebraska	Visual Only	1
Unknown	Unexplained Movements and Physical Manifestations	Nebraska	Both	0
night	Ghostly Sightings	Nebraska	Both	0
Unknown		Nebraska	Visual Only	2-5
Unknown	Ghostly Sightings	Nebraska	Audio Only	0
Unknown	Ghostly Sightings	Nebraska	Audio Only	1
Unknown	Unexplained Movements and Physical Manifestations	Nebraska	Audio Only	0
night	Unexplained Movements and Physical Manifestations	Nebraska	Both	1
Unknown	Unexplained Movements and Physical Manifestations	Nebraska	Visual Only	0
Unknown		Nebraska	Visual Only	0
night		Nebraska	Both	1
night	Mysterious Occurrences	Nebraska	Both	1
Unknown		Nebraska	Both	1
night	Ghostly Sightings	Nebraska	Audio Only	2-5
Unknown	Unexplained Movements and Physical Manifestations	Nebraska	Both	1
night	Ghostly Sightings	Nebraska	Both	2-5
Unknown	Unexplained Movements and Physical Manifestations	Nebraska	Audio Only	2-5
Unknown	Ghostly Sightings	Nebraska	None	0
night	Murder	Nebraska	Audio Only	2-5
Unknown	Ghostly Sightings	Nebraska	None	1
Unknown	Violent or Tragic Deaths	Nebraska	Both	6-10
night	Sounds and Noises	Nebraska	Both	1
night	Ghostly Sightings	Nebraska	Audio Only	6-10
Unknown	Unexplained Movements and Physical Manifestations	Nebraska	None	0
night		Nebraska	Both	1
night	Violent or Tragic Deaths	Nebraska	None	1
night	Violent or Tragic Deaths	Nebraska	Both	1
Unknown	Violent or Tragic Deaths	Nebraska	Visual Only	1
night		Nebraska	Both	0
night	Murder	Nebraska	None	1
night	Sounds and Noises	Georgia	Both	1
Unknown	Ghostly Sightings	Georgia	Both	1
night	Unexplained Movements and Physical Manifestations	Georgia	Both	1
night	Ghostly Sightings	Georgia	Visual Only	0
night	Object and Environmental Manipulation	Georgia	Visual Only	10+
night	Object and Environmental Manipulation	Georgia	Audio Only	6-10
Unknown	Sounds and Noises	Georgia	Audio Only	1
Unknown	Ghostly Sightings	Georgia	Both	1
Unknown	Unexplained Movements and Physical Manifestations	Georgia	Both	1
Unknown	Murder	Georgia	Audio Only	0
night	Ghostly Sightings	Georgia	Audio Only	2-5
night	Ghostly Sightings	Georgia	Audio Only	0
night		Georgia	Audio Only	1
night	Mysterious Occurrences	Georgia	Both	0
night	Ghostly Sightings	Georgia	Both	0
night	Ghostly Sightings	Georgia	Visual Only	0
Unknown		Georgia	Both	1
Unknown	Murder	Georgia	Visual Only	0
night	Ghostly Sightings	Georgia	Audio Only	10+
Unknown	Unexplained Movements and Physical Manifestations	Georgia	Visual Only	1
Unknown	Violent or Tragic Deaths	Georgia	Audio Only	1
Unknown	Unexplained Movements and Physical Manifestations	Georgia	Audio Only	1
Unknown	Mysterious Occurrences	Georgia	Both	0
Unknown		Georgia	Both	0
Unknown	Murder	Georgia	Audio Only	0
night	Ghostly Sightings	Georgia	Both	0
Unknown	Unexplained Movements and Physical Manifestations	Georgia	Both	0
Unknown	Violent or Tragic Deaths	Georgia	Audio Only	0
night	Object and Environmental Manipulation	Georgia	Both	1
Unknown	Unexplained Movements and Physical Manifestations	Georgia	Visual Only	1
Unknown	Mysterious Occurrences	Georgia	Audio Only	1
Unknown	Ghostly Sightings	Georgia	Visual Only	1
night	Ghostly Sightings	Georgia	Both	0
Unknown	Unexplained Movements and Physical Manifestations	Georgia	Audio Only	0
Unknown	Ghostly Sightings	Georgia	Both	0
Unknown	Murder	Georgia	Visual Only	1
Unknown	Violent or Tragic Deaths	Georgia	Visual Only	0
Unknown	Unexplained Movements and Physical Manifestations	Georgia	Both	1
night	Murder	Georgia	Audio Only	0
Unknown	Unexplained Movements and Physical Manifestations	Georgia	Audio Only	1
night		Georgia	None	0
Unknown	Fire and Destruction	Georgia	Both	2-5
Unknown	Ghostly Sightings	Georgia	Both	1
night		Georgia	Both	1
night	Sounds and Noises	Georgia	Both	1
night	Violent or Tragic Deaths	Georgia	Both	1
night	Mysterious Occurrences	Georgia	Visual Only	0
Unknown	Violent or Tragic Deaths	Georgia	Audio Only	1
night	Sounds and Noises	Georgia	Both	1
Unknown	Murder	Georgia	Audio Only	0
Unknown		Georgia	None	0
night	Unexplained Movements and Physical Manifestations	Georgia	Audio Only	0
Unknown	Murder	Georgia	Audio Only	0
night	Violent or Tragic Deaths	Georgia	None	1
night	Unexplained Movements and Physical Manifestations	Georgia	Audio Only	6-10
Unknown	Violent or Tragic Deaths	Georgia	Both	0
Unknown	Ghostly Sightings	Georgia	Visual Only	0
Unknown	Violent or Tragic Deaths	Georgia	Both	0
Unknown	Unexplained Movements and Physical Manifestations	Georgia	Both	1
night	Ghostly Sightings	Georgia	Visual Only	0
Unknown	Ghostly Sightings	Georgia	Both	1
night		Georgia	Both	0
night	Murder	Georgia	Visual Only	6-10
night		Georgia	Audio Only	0
Unknown	Unexplained Movements and Physical Manifestations	Georgia	Audio Only	1
night	Mysterious Occurrences	Georgia	Audio Only	0
night	Ghostly Sightings	Georgia	Audio Only	1
night	Unexplained Movements and Physical Manifestations	Georgia	Audio Only	1
Unknown	Ghostly Sightings	Georgia	Audio Only	0
Unknown	Violent or Tragic Deaths	Georgia	Audio Only	0
Unknown	Object and Environmental Manipulation	Georgia	Both	0
Unknown	Violent or Tragic Deaths	Georgia	Audio Only	1
Unknown	Unexplained Movements and Physical Manifestations	Georgia	Both	2-5
night	Sounds and Noises	Georgia	Audio Only	0
Unknown	Unexplained Movements and Physical Manifestations	Georgia	Audio Only	0
night	Sounds and Noises	Georgia	Both	2-5
night	Violent or Tragic Deaths	Georgia	Both	2-5
night	Violent or Tragic Deaths	Georgia	None	0
night	Violent or Tragic Deaths	Georgia	Visual Only	2-5
night	Ghostly Sightings	Georgia	Audio Only	2-5
Unknown	Sounds and Noises	Georgia	Both	1
night	Ghostly Sightings	Georgia	None	2-5
Unknown	Sounds and Noises	Georgia	Both	1
Unknown	Ghostly Sightings	Georgia	Both	0
Unknown		Georgia	None	1
night		Georgia	Visual Only	0
night	Unexplained Movements and Physical Manifestations	Georgia	Visual Only	6-10
night	Murder	Georgia	None	1
night	Murder	Georgia	Audio Only	1
Unknown	Violent or Tragic Deaths	Georgia	Audio Only	0
Unknown	Sounds and Noises	Georgia	Audio Only	2-5
night	Ghostly Sightings	Georgia	Visual Only	1
Unknown	Unexplained Movements and Physical Manifestations	Georgia	Audio Only	1
night	Unexplained Movements and Physical Manifestations	Georgia	Audio Only	1
Unknown	Ghostly Sightings	Georgia	Audio Only	1
night		Georgia	Audio Only	6-10
Unknown	Violent or Tragic Deaths	Georgia	Audio Only	1
night	Object and Environmental Manipulation	Georgia	Audio Only	6-10
Unknown	Sounds and Noises	Georgia	Both	0
Unknown	Ghostly Sightings	Georgia	Audio Only	2-5
morning	Violent or Tragic Deaths	Georgia	Audio Only	2-5
Unknown	Unexplained Movements and Physical Manifestations	Georgia	Visual Only	0
night		Georgia	Visual Only	0
night	Ghostly Sightings	Georgia	Both	0
night	Unexplained Movements and Physical Manifestations	Georgia	Both	6-10
night	Murder	Georgia	Both	1
Unknown	Violent or Tragic Deaths	Georgia	Both	1
Unknown	Ghostly Sightings	Georgia	Visual Only	1
night		Georgia	None	0
evening		Georgia	Both	1
night	Ghostly Sightings	Georgia	Audio Only	1
night	Unexplained Movements and Physical Manifestations	Georgia	None	0
Unknown	Ghostly Sightings	Georgia	None	1
Unknown	Sounds and Noises	Georgia	Both	0
Unknown	Murder	Georgia	Audio Only	1
night	Murder	Georgia	Both	0
Unknown	Unexplained Movements and Physical Manifestations	Georgia	Both	1
Unknown	Ghostly Sightings	Georgia	Both	0
Unknown	Murder	Georgia	Audio Only	0
night	Unexplained Movements and Physical Manifestations	Georgia	None	1
night	Unexplained Movements and Physical Manifestations	Georgia	Audio Only	1
night	Violent or Tragic Deaths	Georgia	Audio Only	1
night		Georgia	Both	1
night	Ghostly Sightings	Georgia	Both	2-5
night		Georgia	Audio Only	10+
night		Georgia	Both	1
Unknown	Violent or Tragic Deaths	Georgia	Audio Only	1
Unknown	Sounds and Noises	Georgia	Both	0
Unknown	Ghostly Sightings	Georgia	None	6-10
night	Object and Environmental Manipulation	Georgia	Audio Only	0
Unknown	Unexplained Movements and Physical Manifestations	Georgia	Visual Only	0
Unknown	Ghostly Sightings	Georgia	Both	1
Unknown	Murder	Georgia	None	0
Unknown	Sounds and Noises	Georgia	Both	0
Unknown	Murder	Georgia	Visual Only	0
night	Sounds and Noises	Georgia	Audio Only	0
night		Georgia	Visual Only	1
night	Unexplained Movements and Physical Manifestations	Georgia	Audio Only	2-5
Unknown	Ghostly Sightings	Georgia	Both	6-10
Unknown	Sounds and Noises	Georgia	Audio Only	0
night	Unexplained Movements and Physical Manifestations	Georgia	Both	1
night	Fire and Destruction	Georgia	Audio Only	6-10
Unknown	Mysterious Occurrences	Georgia	Audio Only	1
Unknown	Murder	Georgia	Both	1
night	Ghostly Sightings	Georgia	Audio Only	0
night	Sounds and Noises	Georgia	Both	0
Unknown	Sounds and Noises	Georgia	Both	2-5
Unknown	Unexplained Movements and Physical Manifestations	Georgia	Audio Only	0
Unknown	Violent or Tragic Deaths	Georgia	Both	6-10
night	Ghostly Sightings	Georgia	Visual Only	1
night	Ghostly Sightings	Georgia	Audio Only	6-10
night	Ghostly Sightings	Georgia	Visual Only	1
night		Georgia	Audio Only	1
night	Ghostly Sightings	Georgia	Visual Only	0
night	Ghostly Sightings	Georgia	None	2-5
night	Ghostly Sightings	Georgia	Both	1
night	Sounds and Noises	Georgia	Audio Only	0
Unknown	Murder	Georgia	Both	6-10
Unknown	Object and Environmental Manipulation	Georgia	Audio Only	0
Unknown	Violent or Tragic Deaths	Georgia	Both	2-5
Unknown	Violent or Tragic Deaths	Georgia	None	1
night	Unexplained Movements and Physical Manifestations	Georgia	Both	1
Unknown	Sounds and Noises	Georgia	Audio Only	0
Unknown		Georgia	Visual Only	1
night	Mysterious Occurrences	Georgia	Both	0
night	Ghostly Sightings	Georgia	Audio Only	1
Unknown	Sounds and Noises	Georgia	Both	0
night	Unexplained Movements and Physical Manifestations	Georgia	Audio Only	1
Unknown	Unexplained Movements and Physical Manifestations	Georgia	Visual Only	0
Unknown	Sounds and Noises	Georgia	Both	0
night		Georgia	None	0
night	Ghostly Sightings	Georgia	Visual Only	1
Unknown		Georgia	Visual Only	1
night	Sounds and Noises	Georgia	Both	0
night	Unexplained Movements and Physical Manifestations	Georgia	None	1
Unknown	Mysterious Occurrences	Georgia	Both	0
Unknown	Ghostly Sightings	Georgia	Both	0
night		Georgia	Both	0
night	Object and Environmental Manipulation	Georgia	Both	1
night	Unexplained Movements and Physical Manifestations	Georgia	None	1
night	Ghostly Sightings	Georgia	Audio Only	1
Unknown	Unexplained Movements and Physical Manifestations	Georgia	Audio Only	0
Unknown		Georgia	Visual Only	1
night	Unexplained Movements and Physical Manifestations	Georgia	None	2-5
evening	Murder	Georgia	Audio Only	0
Unknown	Ghostly Sightings	Georgia	Audio Only	1
Unknown		Georgia	Visual Only	2-5
night	Unexplained Movements and Physical Manifestations	Georgia	Audio Only	6-10
Unknown	Unexplained Movements and Physical Manifestations	Georgia	None	0
night	Unexplained Movements and Physical Manifestations	Georgia	Both	0
night		Georgia	Both	1
night	Object and Environmental Manipulation	Georgia	Audio Only	1
Unknown	Fire and Destruction	Georgia	Both	0
morning	Violent or Tragic Deaths	Georgia	Both	1
night	Ghostly Sightings	Georgia	Both	10+
night	Mysterious Occurrences	Georgia	Both	0
night	Sounds and Noises	Georgia	Both	0
night	Violent or Tragic Deaths	Georgia	None	0
night	Violent or Tragic Deaths	Georgia	Audio Only	0
Unknown	Unexplained Movements and Physical Manifestations	Georgia	Audio Only	1
night		Georgia	None	0
night	Mysterious Occurrences	Georgia	Visual Only	1
Unknown	Violent or Tragic Deaths	Georgia	Both	0
Unknown	Mysterious Occurrences	Georgia	None	0
night	Unexplained Movements and Physical Manifestations	Georgia	Both	0
night	Unexplained Movements and Physical Manifestations	Georgia	Both	0
night	Unexplained Movements and Physical Manifestations	Georgia	Audio Only	1
night	Ghostly Sightings	Georgia	Audio Only	1
night	Mysterious Occurrences	Georgia	Both	0
Unknown	Sounds and Noises	Georgia	Both	1
Unknown	Unexplained Movements and Physical Manifestations	Georgia	Both	1
Unknown	Object and Environmental Manipulation	Georgia	None	0
night	Object and Environmental Manipulation	Georgia	Both	1
Unknown		Georgia	Visual Only	1
night	Unexplained Movements and Physical Manifestations	Georgia	Both	1
Unknown	Unexplained Movements and Physical Manifestations	Georgia	None	0
Unknown	Murder	Georgia	Both	1
night	Sounds and Noises	Georgia	Audio Only	1
Unknown	Unexplained Movements and Physical Manifestations	Georgia	Audio Only	0
night	Unexplained Movements and Physical Manifestations	Georgia	Audio Only	0
night	Ghostly Sightings	Georgia	Both	1
Unknown	Ghostly Sightings	Georgia	Both	1
night	Unexplained Movements and Physical Manifestations	Georgia	Both	6-10
Unknown	Unexplained Movements and Physical Manifestations	Georgia	Audio Only	2-5
Unknown	Unexplained Movements and Physical Manifestations	Georgia	Both	6-10
Unknown	Unexplained Movements and Physical Manifestations	Georgia	Audio Only	0
Unknown	Unexplained Movements and Physical Manifestations	Georgia	None	0
night	Sounds and Noises	Georgia	Audio Only	6-10
night	Mysterious Occurrences	Georgia	None	6-10
night		Georgia	None	1
night		Georgia	None	1
night	Object and Environmental Manipulation	Georgia	Audio Only	1
Unknown	Violent or Tragic Deaths	Georgia	Both	0
Unknown	Ghostly Sightings	Georgia	None	6-10
night	Unexplained Movements and Physical Manifestations	Georgia	Audio Only	0
night	Ghostly Sightings	Georgia	Audio Only	1
afternoon		Georgia	Audio Only	0
night	Object and Environmental Manipulation	Georgia	Audio Only	1
night	Unexplained Movements and Physical Manifestations	Georgia	Audio Only	1
night	Object and Environmental Manipulation	Georgia	Both	1
Unknown		Georgia	Visual Only	0
night	Mysterious Occurrences	Georgia	Audio Only	2-5
Unknown	Sounds and Noises	Georgia	Both	0
Unknown	Unexplained Movements and Physical Manifestations	Georgia	Audio Only	2-5
night	Unexplained Movements and Physical Manifestations	Georgia	Both	6-10
Unknown	Murder	Georgia	Visual Only	0
night	Violent or Tragic Deaths	Georgia	None	1
night	Object and Environmental Manipulation	Georgia	None	2-5
night	Ghostly Sightings	Georgia	Audio Only	1
Unknown	Sounds and Noises	Georgia	Audio Only	1
night	Object and Environmental Manipulation	Georgia	Audio Only	1
night	Murder	Georgia	Both	0
Unknown	Murder	Georgia	Both	1
Unknown	Sounds and Noises	Georgia	Both	1
night	Sounds and Noises	Georgia	Both	0
night	Object and Environmental Manipulation	Georgia	Both	1
night	Murder	Georgia	Both	0
Unknown	Ghostly Sightings	Georgia	Both	1
night	Sounds and Noises	Georgia	Both	1
night	Violent or Tragic Deaths	Georgia	Audio Only	1
Unknown	Unexplained Movements and Physical Manifestations	Georgia	Visual Only	1
Unknown	Unexplained Movements and Physical Manifestations	Georgia	Both	1
night	Unexplained Movements and Physical Manifestations	Georgia	Both	1
Unknown	Sounds and Noises	Georgia	Both	1
Unknown	Ghostly Sightings	Georgia	Both	1
night	Object and Environmental Manipulation	Georgia	Audio Only	0
Unknown	Murder	Georgia	Visual Only	0
Unknown	Ghostly Sightings	Georgia	None	0
night	Ghostly Sightings	Georgia	Audio Only	0
night	Violent or Tragic Deaths	Georgia	None	10+
night	Unexplained Movements and Physical Manifestations	Georgia	None	0
Unknown	Mysterious Occurrences	Georgia	Audio Only	0
night	Unexplained Movements and Physical Manifestations	Georgia	None	1
Unknown	Unexplained Movements and Physical Manifestations	Georgia	None	0
Unknown	Unexplained Movements and Physical Manifestations	Georgia	Both	0
Unknown	Sounds and Noises	Georgia	Both	0
night	Ghostly Sightings	Georgia	Both	0
night	Unexplained Movements and Physical Manifestations	Georgia	Audio Only	0
Unknown	Violent or Tragic Deaths	Georgia	Both	6-10
morning		Georgia	Both	1
night	Violent or Tragic Deaths	Georgia	None	1
Unknown	Violent or Tragic Deaths	Georgia	Both	0
afternoon	Violent or Tragic Deaths	Georgia	Both	10+
night	Murder	Georgia	Both	1
Unknown	Ghostly Sightings	Georgia	None	1
night		Georgia	Both	0
night	Violent or Tragic Deaths	Georgia	Audio Only	2-5
night	Unexplained Movements and Physical Manifestations	Georgia	Audio Only	0
night	Ghostly Sightings	Georgia	Both	0
night	Ghostly Sightings	Texas	Audio Only	2-5
night	Object and Environmental Manipulation	Texas	None	0
Unknown	Ghostly Sightings	Texas	Visual Only	1
night	Murder	Texas	Both	0
Unknown	Ghostly Sightings	Texas	Visual Only	1
night	Object and Environmental Manipulation	Texas	Visual Only	10+
night	Unexplained Movements and Physical Manifestations	Texas	Both	1
Unknown		Texas	Both	1
Unknown	Unexplained Movements and Physical Manifestations	Texas	Visual Only	0
night	Murder	Texas	Both	0
Unknown	Ghostly Sightings	Texas	Audio Only	0
night	Violent or Tragic Deaths	Texas	Both	0
Unknown		Texas	Both	0
Unknown	Fire and Destruction	Texas	Visual Only	2-5
night		Texas	Both	0
Unknown	Ghostly Sightings	Texas	Visual Only	1
night	Unexplained Movements and Physical Manifestations	Texas	Both	1
night	Violent or Tragic Deaths	Texas	Both	2-5
night	Object and Environmental Manipulation	Texas	Visual Only	1
Unknown	Ghostly Sightings	Texas	Both	0
Unknown	Ghostly Sightings	Texas	None	0
night	Violent or Tragic Deaths	Texas	Both	1
Unknown	Mysterious Occurrences	Texas	Visual Only	1
Unknown	Violent or Tragic Deaths	Texas	Visual Only	1
night	Murder	Texas	Both	0
night		Texas	None	0
night	Murder	Texas	Both	10+
night	Object and Environmental Manipulation	Texas	Visual Only	0
evening	Violent or Tragic Deaths	Texas	Visual Only	0
Unknown	Violent or Tragic Deaths	Texas	None	1
night	Violent or Tragic Deaths	Texas	Audio Only	0
night	Ghostly Sightings	Texas	Both	6-10
night	Sounds and Noises	Texas	Both	0
Unknown		Texas	Audio Only	0
night	Violent or Tragic Deaths	Texas	Both	6-10
night		Texas	Both	0
night	Violent or Tragic Deaths	Texas	Both	1
night	Ghostly Sightings	Texas	Audio Only	6-10
night		Texas	Both	1
Unknown	Violent or Tragic Deaths	Texas	None	0
Unknown	Violent or Tragic Deaths	Texas	Visual Only	0
Unknown	Ghostly Sightings	Texas	Audio Only	1
Unknown		Texas	None	1
night	Unexplained Movements and Physical Manifestations	Texas	Both	1
night	Violent or Tragic Deaths	Texas	Audio Only	2-5
night	Ghostly Sightings	Texas	Audio Only	0
evening	Violent or Tragic Deaths	Texas	Audio Only	1
morning	Violent or Tragic Deaths	Texas	Both	6-10
Unknown		Texas	Visual Only	0
Unknown	Ghostly Sightings	Texas	Both	0
night	Unexplained Movements and Physical Manifestations	Texas	Audio Only	0
night	Object and Environmental Manipulation	Texas	Visual Only	0
night	Object and Environmental Manipulation	Texas	None	6-10
night	Unexplained Movements and Physical Manifestations	Texas	Visual Only	6-10
night	Violent or Tragic Deaths	Texas	Audio Only	0
Unknown	Sounds and Noises	Texas	Both	0
night	Sounds and Noises	Texas	Both	6-10
night	Mysterious Occurrences	Texas	Both	2-5
night	Murder	Texas	Both	0
Unknown	Violent or Tragic Deaths	Texas	Audio Only	0
night	Mysterious Occurrences	Texas	Audio Only	1
Unknown	Violent or Tragic Deaths	Texas	Both	0
night	Violent or Tragic Deaths	Texas	Audio Only	0
night	Murder	Texas	Both	0
night		Texas	Both	0
night	Unexplained Movements and Physical Manifestations	Texas	Both	6-10
Unknown	Violent or Tragic Deaths	Texas	Audio Only	0
night	Sounds and Noises	Texas	Audio Only	0
Unknown	Violent or Tragic Deaths	Texas	Both	0
Unknown	Mysterious Occurrences	Texas	Audio Only	0
Unknown	Murder	Texas	Both	0
Unknown	Unexplained Movements and Physical Manifestations	Texas	Both	0
Unknown	Violent or Tragic Deaths	Texas	Both	0
Unknown	Violent or Tragic Deaths	Texas	Audio Only	0
Unknown		Texas	Audio Only	0
Unknown	Unexplained Movements and Physical Manifestations	Texas	Audio Only	2-5
night	Murder	Texas	Both	0
Unknown	Sounds and Noises	Texas	Both	2-5
night	Violent or Tragic Deaths	Texas	Both	1
morning	Sounds and Noises	Texas	Audio Only	0
night	Unexplained Movements and Physical Manifestations	Texas	None	1
night	Violent or Tragic Deaths	Texas	Visual Only	0
night	Violent or Tragic Deaths	Texas	Both	1
night	Ghostly Sightings	Texas	Audio Only	1
night	Unexplained Movements and Physical Manifestations	Texas	Visual Only	2-5
night		Texas	None	1
night	Murder	Texas	Both	1
Unknown	Ghostly Sightings	Texas	Visual Only	1
night	Violent or Tragic Deaths	Texas	Audio Only	0
Unknown	Murder	Texas	Audio Only	0
night	Unexplained Movements and Physical Manifestations	Texas	None	1
night	Violent or Tragic Deaths	Texas	None	1
Unknown	Ghostly Sightings	Texas	Audio Only	1
Unknown	Ghostly Sightings	Texas	Audio Only	2-5
night	Violent or Tragic Deaths	Texas	Both	1
Unknown	Sounds and Noises	Texas	Both	0
Unknown	Unexplained Movements and Physical Manifestations	Texas	None	0
Unknown	Unexplained Movements and Physical Manifestations	Texas	Audio Only	0
night	Ghostly Sightings	Texas	Both	2-5
night	Violent or Tragic Deaths	Texas	Audio Only	1
Unknown	Sounds and Noises	Texas	Audio Only	0
Unknown	Ghostly Sightings	Texas	None	1
Unknown	Unexplained Movements and Physical Manifestations	Texas	Visual Only	0
Unknown	Unexplained Movements and Physical Manifestations	Texas	Both	0
Unknown	Unexplained Movements and Physical Manifestations	Texas	Visual Only	0
night	Unexplained Movements and Physical Manifestations	Texas	None	1
Unknown	Ghostly Sightings	Texas	Visual Only	1
night	Murder	Texas	Audio Only	1
evening	Murder	Texas	Both	1
night	Sounds and Noises	Texas	Both	10+
Unknown	Sounds and Noises	Texas	Both	0
Unknown		Texas	None	1
Unknown	Violent or Tragic Deaths	Texas	Visual Only	2-5
Unknown		Texas	Visual Only	1
night	Ghostly Sightings	Texas	Audio Only	0
night		Texas	Visual Only	0
Unknown	Ghostly Sightings	Texas	Both	6-10
Unknown	Unexplained Movements and Physical Manifestations	Texas	None	0
night	Object and Environmental Manipulation	Texas	Audio Only	1
Unknown	Ghostly Sightings	Texas	Visual Only	1
night	Ghostly Sightings	Texas	Audio Only	0
night		Texas	Visual Only	2-5
night	Violent or Tragic Deaths	Texas	Audio Only	0
night		Texas	Both	1
Unknown		Texas	Visual Only	1
Unknown	Unexplained Movements and Physical Manifestations	Texas	Visual Only	1
morning		Texas	Both	0
Unknown	Unexplained Movements and Physical Manifestations	Texas	None	0
Unknown	Unexplained Movements and Physical Manifestations	Texas	Both	0
night	Unexplained Movements and Physical Manifestations	Texas	Both	0
night	Object and Environmental Manipulation	Texas	Audio Only	0
Unknown	Murder	Texas	Visual Only	0
Unknown		Texas	Visual Only	0
Unknown	Unexplained Movements and Physical Manifestations	Texas	Both	0
night		Texas	Both	1
Unknown	Unexplained Movements and Physical Manifestations	Texas	None	0
night	Ghostly Sightings	Texas	Audio Only	0
Unknown	Sounds and Noises	Texas	Audio Only	0
night	Ghostly Sightings	Texas	Visual Only	10+
Unknown	Unexplained Movements and Physical Manifestations	Texas	Visual Only	0
night	Object and Environmental Manipulation	Texas	None	0
Unknown	Unexplained Movements and Physical Manifestations	Texas	None	0
night	Violent or Tragic Deaths	Texas	Audio Only	1
night	Unexplained Movements and Physical Manifestations	Texas	Both	2-5
Unknown	Ghostly Sightings	Texas	None	1
night		Texas	Audio Only	10+
Unknown	Ghostly Sightings	Texas	Visual Only	0
night		Texas	Both	0
night	Unexplained Movements and Physical Manifestations	Texas	Audio Only	1
night	Murder	Texas	Both	0
night	Unexplained Movements and Physical Manifestations	Texas	Both	0
Unknown		Texas	Both	0
night	Unexplained Movements and Physical Manifestations	Texas	Visual Only	1
Unknown	Unexplained Movements and Physical Manifestations	Texas	Visual Only	0
night		Texas	None	0
night	Unexplained Movements and Physical Manifestations	Texas	None	6-10
